epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,92.411,0.99352,2.28291,0.93305,0.4151,0.875,0.54155,0.3814,0.92168,21.2164,1.11592,0.000995866,0.000995866,0.000995866
124,93.168,0.76873,1.54941,0.91721,0.50397,0.92538,0.65419,0.43524,0.94931,11.2665,1.10307,0.000990365,0.000990365,0.000990365
125,93.8903,0.98779,1.85188,0.96086,0.50397,0.92538,0.65419,0.43524,0.94931,11.2665,1.10307,0.000984864,0.000984864,0.000984864
126,94.6461,0.89075,2.01879,1.10601,0.53098,0.9375,0.77016,0.5665,1.00489,5.37873,1.11096,0.000979362,0.000979362,0.000979362
127,95.3593,0.91044,1.33958,0.94343,0.53098,0.9375,0.77016,0.5665,1.00489,5.37873,1.11096,0.000973861,0.000973861,0.000973861
128,96.1163,0.90714,1.4729,0.91327,0.73558,0.9065,0.93516,0.68285,0.96123,3.64599,1.08658,0.00096836,0.00096836,0.00096836
129,96.831,0.82679,1.36821,0.96631,0.73558,0.9065,0.93516,0.68285,0.96123,3.64599,1.08658,0.000962859,0.000962859,0.000962859
130,97.5981,0.76672,1.36093,0.91834,0.82707,0.87415,0.93516,0.72048,0.84983,3.46974,1.04913,0.000957358,0.000957358,0.000957358
131,98.3166,1.00666,2.03486,1.10999,0.82707,0.87415,0.93516,0.72048,0.84983,3.46974,1.04913,0.000951857,0.000951857,0.000951857
132,99.1039,0.87677,1.41379,1.12023,0.79945,0.80746,0.85268,0.65927,0.80249,4.39224,1.03335,0.000946356,0.000946356,0.000946356
133,99.841,0.98194,1.50601,1.07897,0.79945,0.80746,0.85268,0.65927,0.80249,4.39224,1.03335,0.000940855,0.000940855,0.000940855
134,100.641,0.91035,1.3225,0.90822,0.55378,0.92915,0.6573,0.48017,0.82828,6.85782,1.04009,0.000935354,0.000935354,0.000935354
135,101.377,0.68661,1.29092,1.01273,0.55378,0.92915,0.6573,0.48017,0.82828,6.85782,1.04009,0.000929853,0.000929853,0.000929853
136,102.136,0.86112,1.72632,0.88786,0.51035,0.9375,0.47442,0.36853,0.84353,9.9501,1.03993,0.000924352,0.000924352,0.000924352
137,102.846,0.76157,1.14716,0.91286,0.51035,0.9375,0.47442,0.36853,0.84353,9.9501,1.03993,0.00091885,0.00091885,0.00091885
138,103.605,0.90316,1.48358,1.05549,0.50916,0.77083,0.46218,0.358,0.8419,8.78348,1.02345,0.000913349,0.000913349,0.000913349
139,104.318,0.96825,1.69092,1.05109,0.50916,0.77083,0.46218,0.358,0.8419,8.78348,1.02345,0.000907848,0.000907848,0.000907848
140,105.064,0.76891,1.18695,0.88055,0.51753,0.77083,0.53418,0.40625,0.85418,5.91874,1.03115,0.000902347,0.000902347,0.000902347
141,105.774,0.90296,2.25414,1.31215,0.51753,0.77083,0.53418,0.40625,0.85418,5.91874,1.03115,0.000896846,0.000896846,0.000896846
142,106.524,0.96446,1.86324,1.0444,0.51143,0.77083,0.64761,0.43646,0.83965,4.20835,1.04056,0.000891345,0.000891345,0.000891345
143,107.229,0.83769,1.32302,1.03482,0.51143,0.77083,0.64761,0.43646,0.83965,4.20835,1.04056,0.000885844,0.000885844,0.000885844
144,107.966,0.87331,1.49464,1.07177,0.51818,0.9375,0.56842,0.37447,0.96954,4.14049,1.19564,0.000880343,0.000880343,0.000880343
145,108.679,0.84614,1.38978,0.96406,0.51818,0.9375,0.56842,0.37447,0.96954,4.14049,1.19564,0.000874842,0.000874842,0.000874842
146,109.429,0.77462,1.14461,0.91566,0.72287,0.55184,0.71018,0.44408,0.89685,3.8691,1.07272,0.00086934,0.00086934,0.00086934
147,110.136,0.83504,1.17393,0.86166,0.72287,0.55184,0.71018,0.44408,0.89685,3.8691,1.07272,0.000863839,0.000863839,0.000863839
148,110.884,0.88211,1.47472,1.08646,0.68876,0.9375,0.75838,0.52536,0.83226,2.87717,1.00208,0.000858338,0.000858338,0.000858338
149,111.59,0.77078,1.08943,0.9043,0.68876,0.9375,0.75838,0.52536,0.83226,2.87717,1.00208,0.000852837,0.000852837,0.000852837
150,112.334,0.89182,1.36434,1.03025,0.77917,0.9375,0.81416,0.64416,0.76292,1.97857,0.96913,0.000847336,0.000847336,0.000847336
151,113.056,0.66465,1.291,0.99308,0.77917,0.9375,0.81416,0.64416,0.76292,1.97857,0.96913,0.000841835,0.000841835,0.000841835
152,113.8,0.94055,1.49641,1.06527,0.72465,0.90408,0.73615,0.53017,0.82683,1.81422,1.03429,0.000836334,0.000836334,0.000836334
153,114.525,0.76583,1.44146,0.8955,0.72465,0.90408,0.73615,0.53017,0.82683,1.81422,1.03429,0.000830833,0.000830833,0.000830833
154,115.306,0.86666,1.39031,1.03796,0.65372,0.9375,0.62421,0.43237,0.94251,1.78954,1.0926,0.000825332,0.000825332,0.000825332
155,116.044,0.76898,1.12535,0.93258,0.65372,0.9375,0.62421,0.43237,0.94251,1.78954,1.0926,0.000819831,0.000819831,0.000819831
156,116.856,0.79792,1.39827,1.03155,0.65976,0.92687,0.65087,0.44753,0.91123,1.55054,1.03086,0.000814329,0.000814329,0.000814329
157,117.588,0.80973,1.57723,1.05357,0.65976,0.92687,0.65087,0.44753,0.91123,1.55054,1.03086,0.000808828,0.000808828,0.000808828
158,118.345,0.84328,1.34892,1.05126,0.7302,0.92592,0.74181,0.44381,0.94368,1.41475,1.02958,0.000803327,0.000803327,0.000803327
159,119.068,0.97208,1.44547,0.9918,0.7302,0.92592,0.74181,0.44381,0.94368,1.41475,1.02958,0.000797826,0.000797826,0.000797826
160,119.816,0.69553,1.25149,0.93679,1,0.7385,0.80551,0.58361,0.86581,1.67585,0.99035,0.000792325,0.000792325,0.000792325
161,120.539,0.80285,1.58516,0.8807,1,0.7385,0.80551,0.58361,0.86581,1.67585,0.99035,0.000786824,0.000786824,0.000786824
162,121.301,0.72816,1.26957,0.98199,1,0.73331,0.79376,0.62977,0.95318,2.03079,1.1249,0.000781323,0.000781323,0.000781323
163,122.031,0.75263,1.26303,1.00637,1,0.73331,0.79376,0.62977,0.95318,2.03079,1.1249,0.000775822,0.000775822,0.000775822
164,122.792,0.71038,1.32602,0.96891,0.62399,0.9375,0.81518,0.63283,0.86825,2.63258,1.07036,0.000770321,0.000770321,0.000770321
165,123.51,0.72416,1.10516,0.84549,0.62399,0.9375,0.81518,0.63283,0.86825,2.63258,1.07036,0.00076482,0.00076482,0.00076482
166,124.274,0.65052,1.09213,0.91162,0.61696,0.9375,0.68766,0.55029,0.83892,2.9458,1.0992,0.000759318,0.000759318,0.000759318
167,125.011,0.74096,1.05886,0.98071,0.61696,0.9375,0.68766,0.55029,0.83892,2.9458,1.0992,0.000753817,0.000753817,0.000753817
168,125.784,0.71172,1.08542,0.94936,0.60944,0.93298,0.79764,0.64898,0.81402,2.96538,1.08211,0.000748316,0.000748316,0.000748316
169,126.508,0.79901,1.27256,1.04228,0.60944,0.93298,0.79764,0.64898,0.81402,2.96538,1.08211,0.000742815,0.000742815,0.000742815
170,127.262,1.13287,1.57615,0.97261,0.63609,0.87924,0.8531,0.6899,0.80891,2.68543,1.0617,0.000737314,0.000737314,0.000737314
171,127.973,0.71886,1.28103,0.98655,0.63609,0.87924,0.8531,0.6899,0.80891,2.68543,1.0617,0.000731813,0.000731813,0.000731813
172,128.726,0.75248,1.17235,0.98511,0.92579,0.8776,0.93757,0.73832,0.80436,1.86529,1.0563,0.000726312,0.000726312,0.000726312
173,129.451,0.8945,1.20542,0.95881,0.92579,0.8776,0.93757,0.73832,0.80436,1.86529,1.0563,0.000720811,0.000720811,0.000720811
174,130.212,0.98916,1.8379,1.01012,0.94086,0.87758,0.95278,0.7398,0.77474,1.38734,1.04199,0.00071531,0.00071531,0.00071531
175,130.954,0.67376,1.29639,0.8822,0.94086,0.87758,0.95278,0.7398,0.77474,1.38734,1.04199,0.000709809,0.000709809,0.000709809
176,131.754,0.7005,1.24378,0.92146,0.94596,0.85476,0.959,0.7282,0.75593,1.04331,1.02608,0.000704307,0.000704307,0.000704307
177,132.495,0.96424,1.99075,1.21177,0.94596,0.85476,0.959,0.7282,0.75593,1.04331,1.02608,0.000698806,0.000698806,0.000698806
178,133.262,0.66945,1.05966,0.92054,0.9742,0.87627,0.95786,0.758,0.71525,0.935,1.01331,0.000693305,0.000693305,0.000693305
179,133.989,0.92773,1.26314,1.0016,0.9742,0.87627,0.95786,0.758,0.71525,0.935,1.01331,0.000687804,0.000687804,0.000687804
180,134.756,0.85263,1.30709,0.99042,0.98899,0.89666,0.95682,0.79085,0.63941,0.86237,0.975,0.000682303,0.000682303,0.000682303
181,135.482,0.8594,1.23338,1.00925,0.98899,0.89666,0.95682,0.79085,0.63941,0.86237,0.975,0.000676802,0.000676802,0.000676802
182,136.272,0.8836,1.19806,0.94815,0.98663,0.9303,0.95,0.78245,0.62085,0.87504,0.95964,0.000671301,0.000671301,0.000671301
183,137.017,0.73992,1.47588,1.08481,0.98663,0.9303,0.95,0.78245,0.62085,0.87504,0.95964,0.0006658,0.0006658,0.0006658
